Edge_ID	VertexA	VertexB
0	63	62
1	62	75
2	75	74
3	74	63
4	0	4
5	4	5
6	5	1
7	1	0
8	7	6
9	6	2
10	2	3
11	3	7
12	9	8
13	8	1
14	5	9
15	11	10
16	10	8
17	9	11
18	11	13
19	13	12
20	12	10
21	15	12
22	13	14
23	14	15
24	17	16
25	16	15
26	14	17
27	19	18
28	18	16
29	17	19
30	21	20
31	20	113
32	113	112
33	112	21
34	23	22
35	22	20
36	21	23
37	78	77
38	77	25
39	25	24
40	24	78
41	115	114
42	114	78
43	24	115
44	26	27
45	27	80
46	80	79
47	79	26
48	81	80
49	27	28
50	28	81
51	82	81
52	28	29
53	29	82
54	29	30
55	30	83
56	83	82
57	31	84
58	84	83
59	30	31
60	29	33
61	33	32
62	32	30
63	28	34
64	34	33
65	35	34
66	27	35
67	25	37
68	37	36
69	36	24
70	116	115
71	36	116
72	38	35
73	26	38
74	42	39
75	39	40
76	40	41
77	41	42
78	41	44
79	44	43
80	43	42
81	46	23
82	21	45
83	45	46
84	112	111
85	111	45
86	17	48
87	48	47
88	47	19
89	14	49
90	49	48
91	13	50
92	50	49
93	11	51
94	51	50
95	9	52
96	52	51
97	53	52
98	5	53
99	4	54
100	54	53
101	74	73
102	73	64
103	64	63
104	6	56
105	56	55
106	55	2
107	57	40
108	39	31
109	31	57
110	32	57
111	39	85
112	85	84
113	39	58
114	58	86
115	86	85
116	59	58
117	42	59
118	59	61
119	61	60
120	60	58
121	0	62
122	63	4
123	64	54
124	60	87
125	87	86
126	60	76
127	76	88
128	88	87
129	70	42
130	43	69
131	69	70
132	70	61
133	69	66
134	66	61
135	71	72
136	72	61
137	66	71
138	55	73
139	74	2
140	75	3
141	76	65
142	65	89
143	89	88
144	22	77
145	78	20
146	114	113
147	80	16
148	18	79
149	81	15
150	82	12
151	83	10
152	84	8
153	85	1
154	86	0
155	87	62
156	88	75
157	89	3
158	67	68
159	68	91
160	91	90
161	90	67
162	90	89
163	65	67
164	91	93
165	93	92
166	92	90
167	92	3
168	93	7
169	96	61
170	72	94
171	94	96
172	96	97
173	97	60
174	65	98
175	98	95
176	95	67
177	76	99
178	99	98
179	97	99
180	101	100
181	100	119
182	119	118
183	118	101
184	100	117
185	117	120
186	120	119
187	104	103
188	103	129
189	129	128
190	128	104
191	105	104
192	128	127
193	127	105
194	106	105
195	127	126
196	126	106
197	125	107
198	107	106
199	126	125
200	109	108
201	108	124
202	124	123
203	123	109
204	125	124
205	108	107
206	122	110
207	110	109
208	123	122
209	122	121
210	121	102
211	102	110
212	112	19
213	47	111
214	113	18
215	114	79
216	115	26
217	116	38
218	117	102
219	121	120
220	119	36
221	37	118
222	120	116
223	121	38
224	122	35
225	123	34
226	124	33
227	125	32
228	126	57
229	127	40
230	128	41
231	129	44
232	130	131
233	131	133
234	133	132
235	132	130
236	133	46
237	45	132
238	48	135
239	135	134
240	134	47
241	139	138
242	138	137
243	137	136
244	136	139
245	137	134
246	135	136
247	141	140
248	140	138
249	139	141
250	143	138
251	140	142
252	142	143
253	144	137
254	143	144
255	145	134
256	144	145
257	146	47
258	145	146
259	147	111
260	146	147
261	147	132
262	147	148
263	148	130
264	150	143
265	142	149
266	149	150
267	150	151
268	151	144
269	152	145
270	151	152
271	153	146
272	152	153
273	153	148
274	136	154
275	154	141
276	155	154
