Vertex_ID	X	Y	Z
0	-1.582673907	-1.606490612	12.47820187
1	-2.166256666	-2.420493126	12.19763851
2	-0.601602912	0.328765899	13.6113348
3	-0.74595511	-0.394655466	14.09568977
4	-1.779382348	-0.843516231	12.34245777
5	-2.574174166	-1.601828933	12.06241226
6	0.000145342	0.408155352	13.92063999
7	-0.000531097	-0.153178752	14.44042873
8	-2.740713596	-3.224361658	11.9246397
9	-3.354465485	-2.491703749	11.68217945
10	-3.418911695	-4.072862625	11.4618082
11	-4.143021584	-3.485208988	11.07623672
12	-3.867071152	-4.927636147	10.92309189
13	-4.646870613	-4.62038517	10.29192448
14	-4.66486454	-5.861983299	9.636773109
15	-3.882162094	-5.800882816	10.51323032
16	-3.530425787	-6.784573555	10.43814468
17	-4.207000732	-7.388584137	9.294101715
18	-2.870995998	-7.820976257	10.84223747
19	-3.348562241	-8.679747581	9.670288086
20	-1.13040626	-8.757919312	11.94091129
21	-1.258401036	-9.962534904	11.43209267
22	0.00016994	-8.708686829	12.26955032
23	-0.000801673	-10.06203365	11.74201298
24	-1.031707644	-6.951826096	12.21061325
25	-0.000112935	-6.972082138	12.25260258
26	-2.18859148	-6.481380939	11.88393021
27	-2.635754585	-6.026899338	11.52603245
28	-2.868412971	-5.675286293	11.44080162
29	-2.872680664	-5.339575291	11.61073589
30	-2.616396427	-4.893334866	11.94000053
31	-2.143774271	-4.359452248	12.31427002
32	-2.333939791	-5.310549736	12.18128109
33	-2.564691782	-5.544795036	11.78193569
34	-2.574998379	-5.695678234	11.63504982
35	-2.385238647	-5.840078831	11.77948761
36	-1.014046431	-6.453253269	12.69586658
37	-0.000112935	-6.508045197	12.79338455
38	-1.98463881	-6.05378437	12.20950699
39	-1.487701774	-3.750693321	12.70622253
40	-1.406787157	-4.657010555	13.07566929
41	-0.696156859	-4.359218121	13.49475479
42	-0.730323196	-3.702567101	13.24491405
43	0.000194538	-3.804254532	13.23544407
44	-0.000900064	-4.372119427	13.51079082
45	-1.08567524	-10.60376263	10.14893723
46	-0.000457304	-10.71443939	10.37393284
47	-3.848340034	-9.16683197	7.653146267
48	-4.9389081	-7.671495438	7.696622372
49	-5.617143154	-5.623163223	8.453288078
50	-5.640142441	-4.097779751	9.324467659
51	-5.272909641	-2.405673265	10.36860752
52	-4.027744293	-1.563210726	11.38999462
53	-3.066818953	-0.861988902	11.77358532
54	-2.096275806	-0.11967665	11.98171902
55	-0.617775977	1.113792419	13.00920582
56	-0.001564205	1.187511921	13.27290726
57	-1.939612389	-4.972490311	12.61754608
58	-1.25027144	-2.652007341	12.60378551
59	-1.004096627	-2.792116404	12.81900311
60	-1.263960123	-2.56223774	12.91829205
61	-0.761033595	-2.599023819	13.0631237
62	-1.338479161	-1.04561162	12.97592545
63	-1.287524819	-0.373931885	12.58415508
64	-1.442859888	0.34357363	12.21007252
65	-0.903750002	-1.91054368	14.16238785
66	0.000932472	-2.796126366	13.5728035
67	-0.546958923	-2.069101095	14.21951675
68	9.61E-05	-2.210551023	14.53115749
69	0.000452814	-3.078127861	13.38541698
70	-0.537144363	-3.059458017	13.2752924
71	0.00028063	-2.577353477	13.92066479
72	-0.436736167	-2.325028896	13.73362255
73	-1.012324691	0.764146984	12.62486553
74	-0.936440468	-0.002000719	13.08697128
75	-0.980359793	-0.63685751	13.49017906
76	-1.249090672	-2.154369831	13.66597939
77	-0.000149832	-7.42787981	12.03745747
78	-0.987812936	-7.493998528	11.95056629
79	-2.425849438	-7.013098717	11.51792717
80	-2.998043537	-6.253937721	11.14047432
81	-3.300571442	-5.69127512	11.10951805
82	-3.309537649	-5.133249283	11.33958149
83	-2.984330177	-4.473978996	11.70247269
84	-2.448873043	-3.764172077	12.06825447
85	-1.921077967	-3.023286819	12.3152771
86	-1.527685404	-2.25225687	12.48257923
87	-1.640810847	-1.875590801	13.03906727
88	-1.347728014	-1.515958309	13.732934
89	-1.036528826	-1.353428364	14.23655033
90	-0.694853187	-1.499576449	14.72912121
91	-0.000432706	-1.528897047	15.00681782
92	-0.62141645	-0.8242805	14.69800472
93	-0.000457304	-0.788589358	14.98493862
94	-0.645165622	-1.784074068	13.53596783
95	-0.456967861	-1.601029873	13.8848505
96	-0.833092809	-1.948079824	13.04045773
97	-1.071015	-1.9608953	13.09982395
98	-0.696587324	-1.514002562	13.93342972
99	-0.929921985	-1.771504879	13.59545708
