Vertex_ID	X	Y	Z
0	-1.825810432	-1.687817574	12.52387047
1	-2.251408577	-2.713670492	12.21563625
2	-0.611650229	0.498611242	13.8481741
3	-0.828553617	-0.396221817	14.52641582
4	-1.894361854	-0.842687309	12.36738586
5	-2.63476944	-1.640751362	12.06963158
6	0.00014646	0.643457651	14.08670902
7	-0.000498589	-0.16601859	14.92429256
8	-2.746209621	-3.563331366	11.92605877
9	-3.363418102	-2.501109838	11.6825819
10	-3.418911695	-4.346874237	11.4618082
11	-4.144136906	-3.491965771	11.07674694
12	-3.866227388	-5.082379818	10.92420864
13	-4.650995255	-4.592564106	10.30487347
14	-4.691978931	-5.772648335	9.702235222
15	-3.898017406	-5.83450079	10.53543377
16	-3.590122938	-6.740712166	10.48962688
17	-4.35395956	-7.240488052	9.471671104
18	-2.933342218	-7.75357914	10.90661144
19	-3.539299726	-8.601029396	9.899757385
20	-1.134111285	-8.679145813	12.30706692
21	-1.368693709	-9.962356567	11.91556549
22	0.000172268	-8.605989456	12.52693939
23	0.100731403	-10.06203365	12.07164001
24	-1.031707644	-6.841620445	12.21061325
25	-0.000112935	-6.857386112	12.25260258
26	-2.18859148	-6.488116264	11.88176441
27	-2.637377977	-6.152018547	11.46578503
28	-2.869258165	-5.890555382	11.40423393
29	-2.872680664	-5.640678883	11.5824461
30	-2.616396427	-5.304262638	11.93316269
31	-2.143774271	-4.900424004	12.31427002
32	-2.333939791	-5.589276791	12.05459881
33	-2.564691782	-5.782897949	11.65525341
34	-2.574998379	-5.899975777	11.50836754
35	-2.385238647	-6.005470753	11.65280533
36	-1.014046431	-6.465105534	12.5691843
37	-0.000112935	-6.508045197	12.66670227
38	-1.98463881	-6.158653736	12.08282471
39	-1.489170909	-4.435348988	12.70655441
40	-1.406787157	-4.982245922	12.94898701
41	-0.693705976	-4.637041092	13.37557888
42	-0.713459134	-4.157047272	13.29595566
43	0.000159171	-3.960777998	13.36642933
44	-0.000900064	-4.495626926	13.38410854
45	-1.306184053	-10.6196146	10.86317158
46	0.054919664	-10.71563721	10.93649673
47	-4.264162064	-8.893122673	8.087974548
48	-5.228878975	-7.29622221	8.07331562
49	-5.655950069	-5.392475605	8.596146584
50	-5.679981709	-4.008346081	9.371034622
51	-5.301746845	-2.392679453	10.37904263
52	-4.065873146	-1.563210726	11.38999462
53	-3.131222725	-0.861988902	11.77358532
54	-2.175608397	-0.116167173	11.98586464
55	-0.656978548	1.224959135	13.09019852
56	-0.002690577	1.2894454	13.34805012
57	-1.939612389	-5.301536083	12.4908638
58	-1.412148714	-3.215384245	12.63985634
59	-1.126464725	-3.362027884	12.87358475
60	-1.475605488	-2.82698822	13.10943508
61	-0.829486847	-3.02330637	13.20415878
62	-1.62891984	-1.044321656	13.11431789
63	-1.370267868	-0.306565315	12.64133167
