Edge_ID	Vertex_ID1	Vertex_ID2
0	0	212
1	1	212
2	0	1
3	17	18
4	18	25
5	17	25
6	20	22
7	17	20
8	17	22
9	17	30
10	17	31
11	30	31
12	35	66
13	64	66
14	35	64
15	69	375
16	69	494
17	375	494
18	70	375
19	373	375
20	70	373
21	372	375
22	372	496
23	375	496
24	19	42
25	19	43
26	42	43
27	44	46
28	44	454
29	46	454
30	27	49
31	48	49
32	27	48
33	55	56
34	56	57
35	55	57
36	36	369
37	35	36
38	35	369
39	59	61
40	61	364
41	59	364
42	35	196
43	66	196
44	71	72
45	72	73
46	71	73
47	73	74
48	73	75
49	74	75
50	81	83
51	81	84
52	83	84
53	293	294
54	292	294
55	292	293
56	85	86
57	86	87
58	85	87
59	89	363
60	358	363
61	89	358
62	90	355
63	355	356
64	90	356
65	91	92
66	92	93
67	91	93
68	111	112
69	111	119
70	112	119
71	111	116
72	111	114
73	114	116
74	124	125
75	111	125
76	111	124
77	159	672
78	665	672
79	159	665
80	668	672
81	158	668
82	158	672
83	672	772
84	129	772
85	129	672
86	669	672
87	672	774
88	669	774
89	135	136
90	113	136
91	113	135
92	139	734
93	137	734
94	137	139
95	147	148
96	148	687
97	147	687
98	150	152
99	150	661
100	152	661
101	160	161
102	161	162
103	160	162
104	163	164
105	161	164
106	161	163
107	172	173
108	173	174
109	172	174
110	176	654
111	654	660
112	176	660
113	177	652
114	651	652
115	177	651
116	171	178
117	170	178
118	170	171
119	0	211
120	211	212
121	17	49
122	22	49
123	197	368
124	197	416
125	368	416
126	34	69
127	34	375
128	59	489
129	364	489
130	372	494
131	369	375
132	70	369
133	380	391
134	390	391
135	380	390
136	56	405
137	57	405
138	376	400
139	400	419
140	376	419
141	196	201
142	39	196
143	39	201
144	238	423
145	24	423
146	24	238
147	418	453
148	186	453
149	186	418
150	52	417
151	230	417
152	52	230
153	455	461
154	54	461
155	54	455
156	68	493
157	492	493
158	68	492
159	371	492
160	365	371
161	365	492
162	68	365
163	375	495
164	495	496
165	53	473
166	53	482
167	473	482
168	38	292
169	38	293
170	93	528
171	91	528
172	116	142
173	111	142
174	518	664
175	664	697
176	518	697
177	129	130
178	130	672
179	150	767
180	661	767
181	159	668
182	669	772
183	678	679
184	675	678
185	675	679
186	148	686
187	686	687
188	673	699
189	681	699
190	673	681
191	520	706
192	133	520
193	133	706
194	118	731
195	118	705
196	705	731
197	545	698
198	509	698
199	509	545
200	543	544
201	145	544
202	145	543
203	735	742
204	146	735
205	146	742
206	770	771
207	128	770
208	128	771
209	666	771
210	671	771
211	666	671
212	128	671
213	127	155
214	155	157
215	127	157
216	127	131
217	131	665
218	127	665
219	750	752
220	750	759
221	752	759
222	98	700
223	598	700
224	98	598
225	121	142
226	121	141
227	141	142
228	127	706
229	157	706
230	67	375
231	67	373
232	67	495
233	672	773
234	773	774
235	158	773
236	98	599
237	598	599
238	2	3
239	3	219
240	219	442
241	2	442
242	4	5
243	5	390
244	320	390
245	4	320
246	7	8
247	6	8
248	6	9
249	7	9
250	11	41
251	41	281
252	214	281
253	11	214
254	12	321
255	12	309
256	11	309
257	11	321
258	13	294
259	13	312
260	305	312
261	294	305
262	14	315
263	314	315
264	15	314
265	14	15
266	17	19
267	20	21
268	19	21
269	23	24
270	23	50
271	50	238
272	18	90
273	89	90
274	25	89
275	28	29
276	29	328
277	21	328
278	21	28
279	212	417
280	1	52
281	302	410
282	293	410
283	38	302
284	77	412
285	302	412
286	38	77
287	40	313
288	33	313
289	16	33
290	16	40
291	7	15
292	8	314
293	291	310
294	291	311
295	12	311
296	12	310
297	68	367
298	45	367
299	37	45
300	37	68
301	47	183
302	47	461
303	181	461
304	181	183
305	30	48
306	48	51
307	26	51
308	26	27
309	53	54
310	461	482
311	60	61
312	60	63
313	62	63
314	61	62
315	58	59
316	58	60
317	63	64
318	34	63
319	34	65
320	64	65
321	62	66
322	67	493
323	68	373
324	60	69
325	58	494
326	79	275
327	79	80
328	80	277
329	275	277
330	81	82
331	81	244
332	244	247
333	82	247
334	16	315
335	14	40
336	94	95
337	94	724
338	535	724
339	95	535
340	96	97
341	96	623
342	623	679
343	97	679
344	99	100
345	100	101
346	101	102
347	99	102
348	104	134
349	104	529
350	529	587
351	134	587
352	105	106
353	104	106
354	104	613
355	105	613
356	610	617
357	107	617
358	107	599
359	599	610
360	620	621
361	108	621
362	108	109
363	109	620
364	110	180
365	110	619
366	618	619
367	180	618
368	111	113
369	113	115
370	114	115
371	117	118
372	143	731
373	117	143
374	119	176
375	176	177
376	112	177
377	122	123
378	115	123
379	115	630
380	122	630
381	133	707
382	127	707
383	130	156
384	156	665
385	93	544
386	92	145
387	98	692
388	607	692
389	607	700
390	607	694
391	166	694
392	166	700
393	101	109
394	100	620
395	597	615
396	105	615
397	105	616
398	597	616
399	132	138
400	138	662
401	128	662
402	128	132
403	503	742
404	140	742
405	140	504
406	503	504
407	124	141
408	116	143
409	121	143
410	141	144
411	120	121
412	120	144
413	146	759
414	742	750
415	151	152
416	152	153
417	153	154
418	151	154
419	132	159
420	131	132
421	149	151
422	149	150
