Face_ID	Edge_ID1	Edge_ID2	Edge_ID3	Edge_ID4
0	0	2	1	NULL
1	3	5	4	NULL
2	6	8	7	NULL
3	9	11	10	NULL
4	12	14	13	NULL
5	15	17	16	NULL
6	18	20	19	NULL
7	21	23	22	NULL
8	24	26	25	NULL
9	27	29	28	NULL
10	30	32	31	NULL
11	33	35	34	NULL
12	36	38	37	NULL
13	39	41	40	NULL
14	12	42	43	NULL
15	44	46	45	NULL
16	47	49	48	NULL
17	50	52	51	NULL
18	53	55	54	NULL
19	56	58	57	NULL
20	59	61	60	NULL
21	62	64	63	NULL
22	65	67	66	NULL
23	68	70	69	NULL
24	71	73	72	NULL
25	74	76	75	NULL
26	77	79	78	NULL
27	80	82	81	NULL
28	83	85	84	NULL
29	86	88	87	NULL
30	89	91	90	NULL
31	92	94	93	NULL
32	95	97	96	NULL
33	98	100	99	NULL
34	101	103	102	NULL
35	104	106	105	NULL
36	107	109	108	NULL
37	110	112	111	NULL
38	113	115	114	NULL
39	116	118	117	NULL
40	0	119	120	NULL
41	8	121	122	NULL
42	123	125	124	NULL
43	15	126	127	NULL
44	41	128	129	NULL
45	17	21	130	NULL
46	18	131	132	NULL
47	133	135	134	NULL
48	34	136	137	NULL
49	138	140	139	NULL
50	141	143	142	NULL
51	144	146	145	NULL
52	147	149	148	NULL
53	150	152	151	NULL
54	153	155	154	NULL
55	156	158	157	NULL
56	159	161	160	NULL
57	158	161	162	NULL
58	23	163	164	NULL
59	165	167	166	NULL
60	55	168	169	NULL
61	67	170	171	NULL
62	71	172	173	NULL
63	174	176	175	NULL
64	85	177	178	NULL
65	99	179	180	NULL
66	77	80	181	NULL
67	83	86	182	NULL
68	183	185	184	NULL
69	96	186	187	NULL
70	188	190	189	NULL
71	191	193	192	NULL
72	194	196	195	NULL
73	197	199	198	NULL
74	200	202	201	NULL
75	203	205	204	NULL
76	206	208	207	NULL
77	209	211	210	NULL
78	208	210	212	NULL
79	213	215	214	NULL
80	216	218	217	NULL
81	219	221	220	NULL
82	222	224	223	NULL
83	225	227	226	NULL
84	215	228	229	NULL
85	19	230	231	NULL
86	163	230	232	NULL
87	87	233	234	NULL
88	82	233	235	NULL
89	224	236	237	NULL
90	238	241	239	240
91	242	245	243	244
92	246	249	247	248
93	250	253	251	252
94	254	257	255	256
95	258	261	259	260
96	262	265	263	264
97	7	266	268	267
98	146	269	271	270
99	4	272	274	273
100	275	278	276	277
101	1	150	279	280
102	169	281	283	282
103	283	286	284	285
104	287	290	288	289
105	246	264	291	292
106	293	296	294	295
107	297	300	298	299
108	301	304	302	303
109	9	31	121	305
110	32	306	308	307
111	154	166	309	310
112	311	314	312	313
113	39	311	315	316
114	317	320	318	319
115	13	313	317	321
116	156	231	322	323
117	16	316	324	325
118	326	329	327	328
119	330	333	331	332
120	262	290	334	335
121	336	339	337	338
122	340	343	341	342
123	344	347	345	346
124	348	351	349	350
125	352	355	353	354
126	356	359	357	358
127	360	363	361	362
128	364	367	365	366
129	72	368	370	369
130	194	371	373	372
131	70	374	376	375
132	377	380	378	379
133	193	228	381	382
134	78	178	383	384
135	66	201	385	386
136	222	387	389	388
137	389	392	390	391
138	345	363	393	394
139	395	398	396	397
140	399	402	400	401
141	403	406	404	405
142	76	173	227	407
143	172	225	408	409
144	226	410	412	411
145	205	220	413	414
146	415	418	416	417
147	79	217	419	420
148	98	415	421	422
149	212	401	423	424
150	383	425	427	426
151	214	417	426	428
152	81	207	429	430
153	431	434	432	433
154	435	438	436	437
155	118	438	440	439
156	236	358	441	442
157	361	364	443	444
158	50	331	445	446
159	447	450	448	449
160	304	451	453	452
161	453	456	454	455
162	451	457	459	458
163	153	303	458	460
164	461	464	462	463
165	465	468	466	467
166	469	472	470	471
167	473	476	474	475
168	123	477	479	478
169	301	455	480	481
170	474	482	484	483
171	485	488	486	487
172	487	489	491	490
173	492	495	493	494
174	119	486	496	497
175	498	501	499	500
176	502	505	503	504
177	239	506	508	507
178	238	509	511	510
179	505	512	514	513
180	515	518	516	517
181	519	522	520	521
182	120	523	525	524
183	450	526	528	527
184	497	524	529	530
185	152	531	533	532
186	147	151	534	535
187	523	536	538	537
188	539	542	540	541
189	45	543	545	544
190	51	546	548	547
191	549	552	550	551
192	332	553	555	554
193	550	556	558	557
194	559	562	560	561
195	563	566	564	565
196	269	567	569	568
197	570	573	571	572
198	516	541	574	575
199	576	579	577	578
200	333	552	580	581
201	57	577	582	583
202	49	578	584	585
203	572	586	588	587
204	567	589	591	590
205	592	595	593	594
206	267	278	596	597
207	576	582	598	599
208	593	600	602	601
209	595	603	605	604
210	328	606	608	607
211	609	612	610	611
212	329	611	613	614
213	326	610	615	616
214	617	620	618	619
215	251	575	621	622
216	623	626	624	625
217	511	627	629	628
218	615	630	632	631
219	327	632	634	633
220	627	635	637	636
221	638	641	639	640
222	639	642	644	643
223	643	645	647	646
224	249	645	648	649
225	291	293	649	650
226	294	648	651	652
227	642	653	655	654
228	656	659	657	658
229	618	630	660	661
230	285	633	662	663
231	664	667	665	666
232	666	668	670	669
233	260	665	671	672
234	335	673	675	674
235	255	295	676	677
236	647	651	653	678
237	288	671	679	680
238	259	659	679	681
239	282	682	684	683
